,Genre,tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cq_mean,chroma_cq_std,chroma_cq_var,chroma_cens_mean,chroma_cens_std,chroma_cens_var,melspectrogram_mean,melspectrogram_std,melspectrogram_var,mfcc_mean,mfcc_std,mfcc_var,mfcc_delta_mean,mfcc_delta_std,mfcc_delta_var,rmse_mean,rmse_std,rmse_var,cent_mean,cent_std,cent_var,spec_bw_mean,spec_bw_std,spec_bw_var,contrast_mean,contrast_std,contrast_var,rolloff_mean,rolloff_std,rolloff_var,poly_mean,poly_std,poly_var,tonnetz_mean,tonnetz_std,tonnetz_var,zcr_mean,zcr_std,zcr_var,harm_mean,harm_std,harm_var,perc_mean,perc_std,perc_var,frame_mean,frame_std,frame_var,Genre
,blues,0.383587556,0.444428863,0.484321658,0.344669272,0.763524094,0.726053436,0.542265218,0.530786319,0.479928434,0.719358938,0.465324909,0.322241268,0.142877208,0.126795825,0.02146878,0.649643972,0.318882348,0.162480042,0.494556064,0.385333956,0.205898251,0.330966286,0.318059325,0.117811484,0.29947819,0.258970916,0.093045205,0.395691803,0.295782822,0.150359398,0.621918302,0.604512433,0.482362534,0.364220829,0.36401182,0.17241909,0.312108742,0.362096869,0.169270762,0.593284101,0.358604674,0.233506026,0.226431586,0.196996997,0.055456624,0.622738197,0.363048157,0.157745156,0.509045777,0.278288211,0.097444353,0.086914586,0.086295529,0.020477814,
,classical,0.397066262,0.423616515,0.487583326,0.186281199,0.684803296,0.638199702,0.462705838,0.513799977,0.456804789,0.602147048,0.604742912,0.452005716,0.022337425,0.019174268,0.001152518,0.375049696,0.57885822,0.411981442,0.473510859,0.175411853,0.065061177,0.095976088,0.121971042,0.024008121,0.20279356,0.144312134,0.038139659,0.238799345,0.224992009,0.104770745,0.590325385,0.278828558,0.173221715,0.218601039,0.210904732,0.068608132,0.090224845,0.112350935,0.026736806,0.62488842,0.439659341,0.29206491,0.221061135,0.12283166,0.027193087,0.627896972,0.129156217,0.035334512,0.53857753,0.042898917,0.00438096,0.172381458,0.158622397,0.062669374,
,country,0.346508869,0.406479257,0.480755054,0.349515829,0.704040372,0.659510247,0.38389692,0.636362743,0.585654623,0.542015586,0.635292618,0.505545145,0.118512728,0.087009024,0.011356709,0.670947203,0.27413691,0.131967005,0.510272502,0.325418118,0.154955729,0.307627483,0.236594272,0.06465073,0.343104854,0.304962839,0.121393427,0.460054476,0.36771383,0.196849185,0.567366852,0.360437859,0.256439325,0.403660666,0.417526853,0.205327481,0.299695708,0.33581892,0.136671786,0.576630358,0.561144136,0.430645135,0.243950007,0.201063225,0.058670323,0.633530506,0.346206826,0.149860234,0.54276803,0.227369747,0.061523004,0.103438586,0.09927715,0.024032237,
,disco,0.395691518,0.459974062,0.490068574,0.49560518,0.677164354,0.631149947,0.668797525,0.517400451,0.461601604,0.818974804,0.35956046,0.214308738,0.132967861,0.118821734,0.023035875,0.728757523,0.175171624,0.06872239,0.492143346,0.409845406,0.22877248,0.328710317,0.325667108,0.123005321,0.530324365,0.361658255,0.161982008,0.618470518,0.340220082,0.179872457,0.448789687,0.498540099,0.39889136,0.601706741,0.419672773,0.208428685,0.359928461,0.417842393,0.195938821,0.583782091,0.267042868,0.148953985,0.425685504,0.312201271,0.122910811,0.627740728,0.294602185,0.110086525,0.54157087,0.372428107,0.153798415,0.069163107,0.068340228,0.014536376,
,hiphop,0.358975034,0.428428685,0.490829933,0.573782179,0.729923739,0.689416258,0.610558967,0.578015738,0.527265069,0.759568557,0.427349771,0.279760963,0.261273976,0.29959507,0.127979028,0.775206744,0.196419062,0.077937808,0.522778652,0.510482955,0.328649577,0.436875214,0.492381952,0.289703497,0.503932468,0.455281397,0.252457108,0.618198043,0.404030718,0.240786944,0.375346599,0.458957091,0.363177163,0.577022356,0.496056551,0.294477034,0.401619885,0.479444834,0.26094179,0.570105863,0.295920252,0.175814251,0.339351827,0.378719064,0.179454909,0.629350213,0.436749085,0.231924362,0.514354316,0.470171277,0.25248262,0.066195159,0.063152974,0.013320825,
,jazz,0.369388677,0.425163171,0.483545023,0.253819964,0.753328441,0.713842777,0.44239993,0.593335492,0.540338996,0.634495171,0.564443333,0.414993585,0.065893481,0.061280901,0.007765572,0.575822157,0.376762928,0.210566276,0.479336402,0.299562669,0.139172847,0.206571902,0.201881894,0.053265043,0.316858078,0.240113145,0.087623801,0.430932767,0.294538477,0.146428614,0.533633908,0.329099912,0.220384539,0.379190184,0.361167481,0.16633283,0.173267304,0.198538445,0.056106507,0.571121822,0.423762886,0.282138216,0.218953938,0.174501342,0.054053419,0.616176513,0.254349541,0.093030367,0.520005363,0.125197463,0.021805017,0.097976072,0.096734079,0.026654055,
,metal,0.404622258,0.466853753,0.482021021,0.62495384,0.518392638,0.467970386,0.679725645,0.398645805,0.347285862,0.81350498,0.366725696,0.220896342,0.15789425,0.107132327,0.019591694,0.794741138,0.164050767,0.059162774,0.504762163,0.229172927,0.094866706,0.375586111,0.209307854,0.057351626,0.52500249,0.218837497,0.069162543,0.514444211,0.20317128,0.08552219,0.472430268,0.786598091,0.697387683,0.551483627,0.255926055,0.08710467,0.476091446,0.492845226,0.288556193,0.574717707,0.259596494,0.144689036,0.496065381,0.222941734,0.066492553,0.619759924,0.344942116,0.157113278,0.475521221,0.327473411,0.124978134,0.100107665,0.094836847,0.025561317,
,pop,0.348159978,0.405539784,0.482976444,0.458680991,0.7457308,0.705852971,0.550109787,0.610171393,0.559517291,0.695982934,0.499501421,0.34924692,0.294572795,0.287689499,0.11934772,0.785539565,0.13108545,0.04747499,0.515541344,0.445016343,0.258349096,0.490784469,0.497929992,0.285930864,0.647704274,0.524355075,0.313353153,0.807989488,0.431058278,0.252427092,0.33170115,0.179215822,0.098519413,0.744858229,0.561432446,0.349888383,0.454176575,0.544625898,0.330304586,0.589794221,0.371869944,0.240564467,0.442267697,0.44560872,0.238703586,0.634222283,0.48912014,0.272945071,0.552635958,0.512964195,0.299010463,0.086834983,0.086858846,0.02143216,
,rock,0.38787521,0.443788533,0.482082582,0.435949253,0.667418929,0.620845321,0.553999059,0.519281845,0.464992399,0.703166389,0.493004861,0.341387088,0.114229371,0.079193163,0.00901183,0.703386414,0.220208052,0.093952596,0.497339732,0.319915669,0.157080895,0.310653448,0.231261683,0.065756763,0.432736833,0.319865148,0.137322209,0.522579703,0.333991733,0.183774839,0.480010959,0.485229535,0.389511359,0.494421861,0.40796762,0.208383312,0.347201071,0.382225129,0.171998194,0.580792248,0.363022714,0.228101782,0.346114653,0.248480154,0.083789833,0.6228308,0.317724152,0.124047043,0.52566233,0.261519119,0.079065148,0.103712421,0.099888385,0.024110012,
,reggae,0.420227106,0.487574978,0.488597835,0.480963064,0.760815772,0.723522526,0.528428281,0.664053517,0.615008502,0.708403914,0.496291619,0.33819157,0.118770178,0.128510924,0.030040459,0.693600404,0.293796729,0.140269517,0.488411166,0.550459309,0.36450687,0.292597596,0.326081895,0.129304898,0.420275634,0.45742694,0.253359412,0.543556425,0.486360478,0.309386446,0.43457733,0.350943271,0.25194865,0.487267869,0.563349256,0.359672332,0.254154515,0.312682601,0.120454765,0.564187026,0.377937326,0.24107696,0.278174095,0.323108639,0.140748079,0.616301148,0.313300026,0.127069617,0.504642894,0.289979755,0.101973084,0.080669565,0.0817988,0.017885845,
