chroma_stft_mean,chroma_stft_var,melspectrogram_mean,melspectrogram_std,mfcc_mean,mfcc_std,mfcc_var,mfcc_delta_var,rmse_mean,cent_mean,cent_std,cent_var,spec_bw_mean,contrast_mean,rolloff_mean,poly_mean,poly_std,tonnetz_std,zcr_std,harm_std,perc_std,frame_mean
0.231270761,0.688900281,0.0650158,0.044055962,0.580552562,0.328243099,0.155973771,0.11629036,0.236164031,0.25472996,0.115947149,0.02339918,0.335953156,0.66753665,0.311234596,0.210983088,0.233407354,0.422110766,0.10516645,0.288849598,0.129091352,0.07108552
0.620377068,0.327433999,0.257101561,0.132611132,0.890525602,0.097589349,0.028786432,0.044458903,0.560300209,0.600008151,0.121032892,0.024981288,0.551209161,0.491620619,0.597318115,0.776642784,0.778390415,0.268782433,0.130357676,0.522069367,0.461730012,0.023801311
0.619503309,0.553138715,0.03827615,0.079906953,0.663143655,0.309101898,0.142255863,0.2755465,0.153350521,0.676662211,0.340978409,0.138090993,0.65313782,0.527490393,0.6973847,0.140023087,0.172645213,0.304500606,0.41689582,0.137856998,0.203477195,0.033274073
0.516220664,0.744175019,0.142042859,0.141645381,0.723352283,0.296413969,0.133478327,0.383966537,0.33916641,0.31918989,0.4371939,0.215036146,0.411763223,0.566329439,0.382016371,0.29036579,0.353004912,0.395152905,0.325100772,0.372607298,0.309396663,0.075622894
0.14470053,0.613739116,0.003051562,0.003284316,0.363904793,0.701300622,0.537642049,0.04065281,0.041553339,0.098368464,0.117645705,0.023922384,0.082246567,0.675993573,0.119598894,0.032254969,0.033776143,0.584659152,0.081301861,0.053433167,0.00683566,0.251227214
0.111823827,0.694772846,0.044709148,0.074003119,0.458869308,0.355315736,0.176353363,0.116062874,0.193864721,0.272640615,0.078205597,0.013117662,0.250174075,0.713330831,0.250130755,0.151842577,0.168598265,0.445980626,0.139602586,0.267374105,0.087080616,0.083423992
0.018705229,0.691581215,0.034511257,0.04589494,0.475913447,0.523837381,0.328964231,0.045116569,0.199819267,0.320254648,0.231122409,0.070676796,0.20717001,0.819714149,0.293102253,0.099829607,0.117588782,0.500742464,0.316087054,0.292121962,0.033060627,0.136996842
0.404279634,0.792409878,0.139832779,0.146683584,0.742542898,0.333297233,0.159691451,0.448610097,0.337730542,0.276233958,0.404552781,0.187058897,0.439717481,0.597576725,0.358930061,0.255410282,0.310429402,0.485203764,0.253333076,0.400341377,0.26980624,0.046726988
0.444011189,0.869408047,0.53539721,0.594204136,0.817579233,0.096939003,0.028545342,0.318546344,0.676326025,0.75741459,0.655641217,0.451793431,0.917713077,0.342749008,0.871881584,0.531997611,0.687378218,0.487753366,0.520416217,0.777755237,0.65598718,0.099105792
0.192961005,0.624198078,0.001623698,0.001374025,0.282989138,0.664936987,0.490873693,0.033617928,0.02875905,0.166596987,0.120486933,0.02480921,0.245646852,0.500762973,0.178437373,0.02522837,0.027428017,0.488572098,0.087157427,0.034216586,0.008284667,0.085254862
0.713512921,0.68706548,0.74377673,0.948301362,0.929952985,0.068725578,0.018722551,0.346190486,0.78490774,0.800313517,0.564961465,0.34305235,0.910707572,0.270949976,0.886474627,0.564860594,0.682081694,0.121279466,0.595829496,0.823158613,0.775308733,0.021413219
0.396291944,0.621441227,0.28311634,0.171685511,0.806442659,0.248731227,0.102740299,0.176186431,0.515143304,0.234035135,0.300440316,0.110677302,0.324497127,0.697292739,0.297479641,0.487410896,0.54802544,0.604913911,0.150608704,0.580944226,0.366439206,0.083981214
0.635838682,0.444846785,0.090711506,0.060160198,0.788862566,0.151945711,0.051272871,0.047822695,0.339790558,0.595254006,0.097567612,0.018070942,0.470468924,0.485137913,0.55963561,0.445577209,0.445455022,0.122719911,0.224652988,0.30542369,0.270729619,0.025950593
0.168408676,0.624133773,0.009576778,0.009953643,0.431781027,0.51480768,0.319661905,0.068144293,0.07338234,0.244952324,0.117684411,0.023934367,0.280171437,0.707936382,0.280629638,0.066863316,0.085921214,0.488991198,0.116270532,0.107223537,0.023274715,0.165813145
0.431295163,0.576294626,0.36787418,0.279752674,0.909588214,0.043825228,0.011086509,0.080028594,0.624144953,0.576374347,0.306341119,0.114483154,0.74647742,0.437284323,0.690170133,0.578271124,0.585445399,0.825455634,0.216117119,0.749185118,0.315425206,0.086130496
0.373709111,0.708362234,0.217818727,0.181770378,0.748140417,0.240081873,0.097545273,0.21748577,0.433033133,0.312025951,0.422123667,0.201880117,0.595119777,0.50273319,0.394138207,0.369659343,0.42112042,0.576273916,0.183461376,0.505638371,0.283105462,0.171146549
0.256725774,0.605882245,0.140024932,0.103716503,0.828478856,0.169213524,0.059382582,0.155106789,0.35132174,0.496567462,0.395134701,0.179344148,0.782555553,0.386320812,0.659313607,0.314131931,0.340389641,0.546295621,0.207089749,0.390319996,0.250981408,0.058508239
0.530312257,0.782688862,0.449546825,0.601022674,0.71273374,0.096821823,0.028501972,0.341053373,0.579591925,0.872197772,0.649204673,0.443585304,0.943368438,0.273467436,0.947368421,0.460859282,0.653461822,0.353698188,0.782231018,0.56308316,0.80940135,0.03606018
0.562296482,0.502808514,0.398536014,0.323990718,0.913957636,0.154080066,0.052250021,0.113468438,0.611743119,0.387641957,0.323591487,0.125969737,0.498265268,0.501611748,0.465411493,0.668433437,0.74783355,0.353020667,0.20074865,0.679557228,0.416809479,0.084299626
0.353489337,0.781131532,0.174919625,0.321291197,0.634871801,0.344660707,0.16819586,0.309257923,0.315855241,0.488241587,0.8223323,0.690420267,0.724497023,0.459130885,0.576467281,0.238983495,0.356572472,0.428852896,0.674384996,0.306620596,0.476852727,0.326213283
0.8373584,0.423661853,0.09099569,0.120139987,0.748611221,0.27333847,0.118159399,0.144343955,0.253290062,0.492371684,0.378355792,0.165996697,0.613289685,0.393080187,0.600425766,0.186305733,0.219185771,0.31638112,0.417260536,0.292582471,0.225072615,0.025313769
0.395119854,0.743354375,0.247379254,0.267528263,0.827270908,0.144666781,0.047993963,0.128092263,0.466883805,0.444875435,0.315568923,0.120560875,0.648813654,0.413063955,0.566874668,0.365270552,0.400049973,0.671294019,0.231964789,0.607106658,0.216084753,0.117732905
0.298115756,0.629660534,0.117343116,0.080278573,0.729649178,0.310240612,0.143055928,0.143677042,0.321427407,0.224059244,0.277052776,0.096211448,0.31842967,0.706091927,0.274342919,0.310148876,0.358000421,0.79656209,0.135192442,0.361107174,0.243328787,0.120041394
0.406303337,0.788283138,0.057363543,0.054369443,0.631615966,0.289370197,0.128714017,0.477863837,0.214048887,0.533202964,0.641474985,0.433826974,0.738802523,0.302691673,0.624152721,0.190781955,0.248918965,0.248043397,0.502836003,0.202958664,0.258978546,0.065035689
0.289550949,0.697914585,0.021264711,0.020083225,0.635685639,0.366070994,0.184767505,0.075975397,0.126731404,0.315621729,0.125473614,0.026400934,0.541748519,0.51997607,0.460133002,0.111106404,0.118937407,0.234946598,0.068983232,0.129595083,0.096708108,0.010587205
0.48183467,0.660159425,0.135371544,0.107160426,0.760051742,0.248493307,0.102595834,0.238228561,0.348389125,0.29735264,0.190564044,0.051295819,0.434095101,0.615076024,0.382564595,0.338773568,0.381284499,0.338498319,0.125325336,0.369941875,0.267191497,0.035184546
0.663892615,0.668005156,0.096752139,0.10850635,0.817071396,0.17511409,0.062260547,0.166784336,0.29143017,0.543293268,0.297835815,0.109017472,0.573831143,0.503627806,0.602544094,0.298011109,0.328647009,0.368196543,0.320117626,0.308124952,0.276143837,0.01488577
0.604546565,0.703544577,0.036090936,0.064149976,0.633044135,0.443498943,0.250675958,0.516227942,0.141189127,0.370907244,0.690782048,0.497925527,0.535415652,0.291393627,0.429867271,0.10839331,0.156925809,0.186332637,0.490878332,0.151233575,0.198489467,0.096638098
0.358367461,0.661472451,0.182577322,0.124591512,0.790329794,0.226325654,0.089523732,0.199612049,0.404071724,0.317379563,0.259108407,0.08578199,0.478943664,0.666146841,0.430862896,0.405244795,0.451156759,0.470847894,0.156301101,0.437302097,0.316753817,0.11263831
0.563871203,0.769965117,0.346142085,0.4996011,0.767159233,0.282439515,0.124101866,0.919699176,0.484599306,0.466217979,0.572686885,0.351737882,0.559124921,0.540948953,0.543547029,0.368971894,0.501931124,0.271298683,0.439833502,0.599962575,0.499571244,0.08310558
0.393199173,0.65043685,0.070264923,0.049930378,0.669597013,0.27379516,0.118454507,0.246856884,0.255549976,0.475281568,0.572868646,0.351943529,0.625340953,0.450229071,0.562636137,0.218517182,0.24342101,0.640335787,0.41137578,0.303906686,0.16718018,0.088040969
0.290008708,0.648879206,0.08141281,0.052282657,0.688382698,0.359892667,0.179911932,0.140554189,0.26126136,0.214162376,0.318128435,0.122273889,0.382258122,0.748816643,0.296623698,0.22334713,0.26298302,0.811656994,0.122251158,0.322033176,0.134261206,0.112956722
