tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_cq_mean,chroma_cq_std,chroma_cens_mean,chroma_cens_std,melspectrogram_mean,melspectrogram_std,mfcc_mean,mfcc_std,mfcc_delta_mean,mfcc_delta_std,rmse_mean,rmse_std,cent_mean,cent_std,spec_bw_mean,spec_bw_std,contrast_mean,contrast_std,rolloff_mean,rolloff_std,poly_mean,poly_std,tonnetz_mean,tonnetz_std,zcr_mean,zcr_std,harm_mean,harm_std,perc_mean,perc_std,frame_mean,frame_std,Genre,,,,,,,,,,,,,
0.23344652,0.295680306,0.488145953,0.48183467,0.705466667,0.539832197,0.608996351,0.804771696,0.392503339,0.135371544,0.107160426,0.760051742,0.248493307,0.386461893,0.434956548,0.348389125,0.24226633,0.29735264,0.190564044,0.434095101,0.302890531,0.615076024,0.76098503,0.382564595,0.355314221,0.338773568,0.381284499,0.738390976,0.338498319,0.167347733,0.125325336,0.63393579,0.369941875,0.551155148,0.267191497,0.035184546,0.039435409,blues,,,,,,,,,,,,,
0.339912281,0.42453005,0.491771453,0.475652592,0.683453547,0.822761978,0.355824387,0.939143133,0.168233449,0.183104667,0.185672348,0.801409104,0.184945059,0.450773874,0.385411402,0.410959084,0.428488522,0.430908434,0.242009076,0.460160408,0.165982546,0.582666009,0.732734076,0.459138428,0.258560633,0.437252948,0.511281556,0.589092809,0.136864512,0.476585771,0.35780039,0.634117215,0.356572955,0.548712525,0.482664908,0.058906254,0.061709851,blues,,,,,,,,,,,,,
0.303643725,0.374435276,0.483145027,0.30333,0.937038852,0.570711857,0.460830211,0.729860874,0.484583649,0.077746525,0.086367622,0.665981774,0.494833708,0.524857648,0.49836911,0.242008459,0.3314174,0.123281885,0.272686348,0.223233374,0.220478345,0.599368434,0.39728805,0.136366978,0.368696465,0.178842363,0.246507305,0.411268876,0.333086358,0.103625789,0.255757896,0.633727614,0.294784462,0.546586824,0.212567704,0.095284846,0.078687471,blues,,,,,,,,,,,,,
0.40726817,0.487593883,0.504698401,0.340086425,0.707534234,0.668280776,0.520298752,0.857670626,0.316372659,0.395310081,0.225401376,0.798517292,0.145842882,0.515222092,0.301986405,0.625898915,0.396874278,0.406570482,0.161918081,0.486384017,0.231924773,0.626596537,0.755107668,0.489306487,0.306164591,0.710264868,0.757439419,0.480096825,0.277213246,0.329841667,0.115145067,0.633672166,0.617777212,0.531500531,0.550990353,0.067662589,0.082505084,blues,,,,,,,,,,,,,
0.676691729,0.784913136,0.497528415,0.183884888,0.881673153,0.287677069,0.747036339,0.560109756,0.651013759,0.138630781,0.137079575,0.420146572,0.373958643,0.564802376,0.386162709,0.330672163,0.340848368,0.250195752,0.299371836,0.482197248,0.407560686,0.927295997,0.661991858,0.359875274,0.640060934,0.206999713,0.246497655,0.266824461,0.564741668,0.094908067,0.120683796,0.633820272,0.429718188,0.552717964,0.188829405,0.10165309,0.093292145,blues,,,,,,,,,,,,,
0.211323764,0.281172061,0.519227785,0.326816987,0.615458418,0.835991007,0.274935247,0.928439409,0.190877872,0.078758774,0.042853765,0.644694016,0.169041291,0.626489381,0.255806442,0.28596509,0.14635438,0.513121897,0.144807021,0.529258085,0.10592844,0.597981051,0.688837017,0.554861232,0.14336357,0.342544936,0.357724422,0.569322955,0.15501591,0.494737865,0.15908296,0.633489282,0.283858626,0.528271089,0.242954659,0.065752116,0.069818926,blues,,,,,,,,,,,,,
0.211323764,0.281300326,0.475712502,0.244154919,0.709435052,0.555248857,0.520196047,0.780565519,0.423969375,0.079252095,0.053772898,0.509332994,0.224316658,0.550914068,0.282448842,0.283352914,0.186958205,0.466066019,0.240374829,0.502379461,0.142014879,0.678945546,0.70904881,0.536806607,0.204067994,0.284595692,0.301144261,0.628577319,0.322747058,0.408928237,0.266432616,0.631478049,0.299961098,0.53263295,0.227080572,0.039960729,0.048304793,blues,,,,,,,,,,,,,
0.25862069,0.323884447,0.471615114,0.57104038,0.601102291,0.910323205,0.252174962,0.891767042,0.260246331,0.250277803,0.157239568,0.854174224,0.179223055,0.516184795,0.348983605,0.495468299,0.383449967,0.377888674,0.230378039,0.417110269,0.230659993,0.511176536,0.761015018,0.418015346,0.283338694,0.588747479,0.652844185,0.536404932,0.112808968,0.323017088,0.227974825,0.633876791,0.42711477,0.549470047,0.50822015,0.026348608,0.032698319,blues,,,,,,,,,,,,,
0.46398892,0.536605527,0.495905527,0.519276693,0.611412799,0.443850075,0.840159179,0.714578827,0.501649646,0.387115437,0.324228201,0.911286049,0.121749432,0.495715024,0.216310622,0.618909625,0.435703475,0.451434732,0.175610696,0.522191742,0.098811583,0.532214087,0.870210162,0.540744996,0.193339644,0.704829012,0.736373459,0.345699271,0.472908048,0.380547487,0.181501907,0.634084627,0.594769349,0.493046136,0.549392349,0,0.00358796,blues,,,,,,,,,,,,,
0.575657895,0.657118018,0.487513892,0.412111463,0.738082102,0.639131882,0.438699832,0.870440871,0.296121369,0.070028474,0.047628042,0.671099515,0.217155635,0.427584606,0.354596681,0.267472833,0.165278631,0.458129018,0.302592988,0.52020186,0.149771117,0.624957977,0.713517553,0.532736939,0.260618331,0.28843071,0.308634696,0.475131763,0.250812774,0.395734451,0.347640204,0.633905002,0.235532143,0.54893669,0.266643205,0.048000637,0.053383659,blues,,,,,,,,,,,,,
0.272556391,0.272806305,0.417310794,0.403207579,0.685589946,0.503562636,0.565010743,0.689356224,0.528760325,0.090507476,0.076448335,0.586244404,0.368172235,0.515410319,0.328377283,0.254034109,0.415537973,0.25053119,0.233267903,0.308325052,0.300534564,0.47771737,0.452008364,0.305866834,0.318100907,0.284242963,0.423590918,0.751737584,0.402765566,0.20982405,0.21033166,0.637550538,0.310100326,0.599268651,0.230967539,0.241674848,0.209907165,blues,,,,,,,,,,,,,
0.339912281,0.408012313,0.494678502,0.245855244,0.726703636,0.614570722,0.410917554,0.814072897,0.379903636,0.055720945,0.03942336,0.54919601,0.200479348,0.516221434,0.261732275,0.242229137,0.17295424,0.581129836,0.302784141,0.56437217,0.147856223,0.642592744,0.689301154,0.613541126,0.235482907,0.252357336,0.272028619,0.839612327,0.254724407,0.492559552,0.269574026,0.628517232,0.237054263,0.503377043,0.22847214,0.069095444,0.054533105,blues,,,,,,,,,,,,,
0.534055728,0.616244103,0.49277891,0.124981146,0.824366703,0.220976249,0.754360222,0.413897837,0.764679831,0.283874747,0.28608451,0.379704469,0.351853305,0.390912148,0.331754289,0.488805556,0.419367924,0.175233871,0.256804608,0.386748955,0.461761325,0.960828773,0.635320331,0.235989313,0.573673979,0.285395987,0.319317014,0.265125078,0.611021597,0.060135717,0.073878984,0.633945032,0.645532838,0.552799281,0.216426576,0.007880702,0.008348149,blues,,,,,,,,,,,,,
0.321052632,0.396596691,0.542195314,0.211931283,0.878002682,0.499717234,0.551955734,0.655388134,0.563395916,0.081337801,0.09474953,0.565604232,0.462664379,0.476346047,0.434365382,0.237115589,0.376296474,0.141179575,0.142831716,0.191849599,0.172954478,0.547570662,0.364590822,0.194425132,0.240107384,0.183853403,0.263905122,0.535483096,0.269505326,0.104070708,0.134723491,0.633859232,0.292190458,0.550343517,0.231645466,0.074269642,0.080975404,blues,,,,,,,,,,,,,
0.144415918,0.168683284,0.428366364,0.473508142,0.811331231,0.267369583,0.808805735,0.509852496,0.692556862,0.170025237,0.251676308,0.697789597,0.386000969,0.272240965,0.508086307,0.343760617,0.466518237,0.129376416,0.205853448,0.267403861,0.416775364,0.548867601,0.580042364,0.181068217,0.390103756,0.243167898,0.308141045,0.619468508,0.556995815,0.045908764,0.085498501,0.633891966,0.458635433,0.551557099,0.235894076,0.211107278,0.209636359,blues,,,,,,,,,,,,,
0.676691729,0.765587812,0.496509325,0.1981755,0.809981856,0.679627401,0.379067478,0.795271137,0.405072736,0.108002337,0.140318204,0.599057076,0.393539841,0.500398666,0.528520676,0.286021322,0.379585758,0.204543107,0.252808021,0.256357819,0.14914478,0.598072009,0.431081364,0.250928935,0.302995564,0.225303104,0.280234378,0.608328788,0.201873042,0.187392971,0.258873948,0.633810301,0.367262501,0.548109599,0.232363745,0.138190888,0.141905923,blues,,,,,,,,,,,,,
0.321052632,0.374734562,0.576752429,0.416364494,0.838142463,0.254408224,0.757889696,0.460808515,0.730506723,0.159336869,0.243103758,0.697212153,0.388372177,0.412642702,0.373383621,0.342114937,0.437921594,0.173122876,0.385112279,0.291691107,0.518525149,0.650603322,0.487813295,0.223006283,0.55249345,0.232994493,0.283989811,0.705408513,0.681059957,0.115374336,0.26663318,0.633690649,0.450265098,0.544522884,0.216171793,0.127205668,0.136578168,blues,,,,,,,,,,,,,
0.534055728,0.615103966,0.50256554,0.526426879,0.615056802,0.903707251,0.237256448,0.898216895,0.248820569,0.242123164,0.16740465,0.850772336,0.186344969,0.634939612,0.299424343,0.482511539,0.383982071,0.356071948,0.160026742,0.414249477,0.181049646,0.517310388,0.739883551,0.404411626,0.240447487,0.540832211,0.5925647,0.579367707,0.116073743,0.299390103,0.188781331,0.633759473,0.430942041,0.548851662,0.490413671,0.038607477,0.04438855,blues,,,,,,,,,,,,,
0.272556391,0.343608819,0.493562594,0.237456371,0.813114535,0.442815247,0.609005071,0.53935534,0.668517814,0.064578521,0.065829646,0.579112015,0.420677833,0.509752107,0.342626827,0.229680074,0.27064332,0.212615328,0.216803553,0.228554483,0.143417295,0.659776836,0.325038025,0.260143714,0.217765701,0.186208565,0.225903912,0.582220104,0.375122428,0.200516584,0.269092221,0.63351117,0.283400544,0.545906599,0.175757415,0.052378804,0.064651894,blues,,,,,,,,,,,,,
0.38277512,0.399945843,0.450354318,0.399201446,0.725547836,0.552860337,0.565416417,0.786538494,0.416373148,0.394358088,0.320070667,0.779895074,0.178831501,0.510813123,0.376136269,0.598568249,0.551614454,0.325252716,0.184534296,0.383144909,0.179768491,0.63248168,0.706083024,0.377676792,0.267900946,0.627575737,0.70308409,0.735019843,0.329732535,0.286012676,0.172319426,0.634496115,0.629160791,0.58057199,0.54202118,0.084060817,0.100683215,blues,,,,,,,,,,,,,
0.497076023,0.577265666,0.489479012,0.291551308,0.783003748,0.333306589,0.676611278,0.535428907,0.671772935,0.158897306,0.146840654,0.717773757,0.349879393,0.436441281,0.392309697,0.368524761,0.353283397,0.191919603,0.332290031,0.29699991,0.448255431,0.730112846,0.516927592,0.238090837,0.467253773,0.288957261,0.328267465,0.72937045,0.536409064,0.149029911,0.21024647,0.633738315,0.442860544,0.543760028,0.239981675,0.052936026,0.05663788,blues,,,,,,,,,,,,,
0.303643725,0.329157581,0.464347307,0.481852838,0.660700208,0.723355334,0.425370187,0.863526303,0.307191595,0.36371157,0.23763361,0.844011223,0.14351014,0.487161464,0.324058269,0.599438568,0.482265025,0.42356854,0.205784652,0.495331487,0.234173706,0.547102209,0.809466451,0.493060034,0.327154452,0.705070547,0.785038939,0.563422489,0.228253615,0.355179648,0.167056219,0.634445043,0.539730318,0.571719025,0.614441236,0.047761828,0.050382983,blues,,,,,,,,,,,,,
0.534055728,0.550643465,0.466660493,0.334484416,0.699546768,0.293769726,0.670339923,0.525603761,0.679842075,0.080932229,0.053901796,0.699836458,0.263309865,0.465741712,0.20460595,0.273864199,0.135631332,0.373323444,0.19014086,0.540697235,0.145366129,0.616122241,0.665646848,0.517080005,0.227235585,0.244095938,0.255978711,0.480669805,0.625974971,0.212018782,0.137230731,0.542689017,0.305642143,0.319321795,0.176265981,0.270013533,0.174346522,blues,,,,,,,,,,,,,
0.339912281,0.383057563,0.466435324,0.375606397,0.721223349,0.772380719,0.539402211,0.818222225,0.3741843,0.178071066,0.144401158,0.757205847,0.212082396,0.533145036,0.38140713,0.394421196,0.427259313,0.387642693,0.268044975,0.435012871,0.32499524,0.603698845,0.672531524,0.439252189,0.333918223,0.424451313,0.519824247,0.547309149,0.200482212,0.32678397,0.22900523,0.633800087,0.38627305,0.550444005,0.441904138,0.104678006,0.124988878,blues,,,,,,,,,,,,,
0.676691729,0.798765802,0.520277507,0.221422381,0.771652584,0.541969022,0.450387619,0.716039172,0.500040514,0.080867864,0.076547161,0.61782198,0.427228275,0.51430249,0.423343103,0.244228806,0.348273717,0.165566295,0.165729117,0.229602496,0.169046367,0.577072705,0.355999451,0.22357236,0.233861193,0.205638409,0.281965812,0.763937842,0.346326026,0.121652471,0.161779526,0.633306885,0.301739385,0.543760569,0.207597444,0.052219598,0.073329063,blues,,,,,,,,,,,,,
0.23344652,0.285034275,0.484422567,0.445300264,0.899620404,0.341283478,0.698079909,0.49237424,0.706358264,0.0347759,0.064847525,0.563552049,0.603243279,0.589954627,0.43298315,0.145927056,0.222301918,0.090175014,0.383468074,0.206644885,0.460539176,0.516253936,0.343129791,0.107357331,0.493077767,0.090203444,0.122904316,0.607676791,0.618604289,0.041965705,0.204906353,0.633469826,0.201678342,0.541592122,0.100161393,0.124897179,0.136251953,blues,,,,,,,,,,,,,
0.575657895,0.684139268,0.507706045,0.396979409,0.924275665,0.266850443,0.777834155,0.470925271,0.722872704,0.043849417,0.073438163,0.48246104,0.50904712,0.559617014,0.531773122,0.152434082,0.283730503,0.202478129,0.378960807,0.328809948,0.501383869,0.505879089,0.503922101,0.268856481,0.564022574,0.095851136,0.139094349,0.924453281,0.537844684,0.087902836,0.226623253,0.634092895,0.223220167,0.551580289,0.111852321,0.060816727,0.068586071,blues,,,,,,,,,,,,,
0.287524366,0.31933815,0.462215225,0.273713914,0.866179498,0.561593328,0.427046084,0.743168626,0.469296213,0.094214458,0.107367049,0.685652491,0.442725945,0.526587427,0.519891969,0.272905471,0.357353126,0.151542028,0.285176251,0.229706912,0.190590098,0.608793144,0.437104499,0.17908642,0.366100807,0.216615678,0.283434835,0.577206936,0.367935134,0.145781109,0.288122548,0.633741233,0.322724839,0.548534739,0.256382985,0.127762889,0.125670905,blues,,,,,,,,,,,,,
0.174253201,0.24190859,0.48955689,0.26541585,0.720151118,0.467534544,0.55851352,0.669824672,0.548923317,0.079640844,0.104090463,0.466570267,0.346409729,0.582222683,0.562905738,0.248450414,0.36492548,0.32649081,0.560063205,0.318422948,0.473474635,0.626515939,0.606306088,0.344625832,0.598335211,0.238977572,0.319483529,0.509650552,0.469911194,0.286021635,0.444100628,0.633885595,0.290120685,0.550629521,0.258300486,0.182211373,0.161921371,blues,,,,,,,,,,,,,
0.339912281,0.419841236,0.499325522,0.180369919,0.822179379,0.188742475,0.7515751,0.359816084,0.801765674,0.128805768,0.129765043,0.358833822,0.415923487,0.48318467,0.377584976,0.325553569,0.280869685,0.222614911,0.452448186,0.450851563,0.576633043,0.946936268,0.653732813,0.314853712,0.79336254,0.192082705,0.214407402,0.420843374,0.711036369,0.080166022,0.192207107,0.634016775,0.431107932,0.552437526,0.141102957,0.027144639,0.032889203,blues,,,,,,,,,,,,,
0.339912281,0.412458848,0.50245772,0.188661862,0.771921293,0.654127973,0.360153311,0.818118144,0.374328527,0.107878436,0.174525922,0.647994137,0.372422549,0.482821001,0.377378322,0.270546304,0.385363581,0.195139213,0.196618712,0.356095913,0.241095568,0.548416099,0.477941225,0.247350777,0.324389142,0.198198159,0.23204904,0.303025331,0.25215501,0.117440671,0.176825532,0.633491714,0.369609909,0.547962732,0.180472136,0.065911322,0.074947846,blues,,,,,,,,,,,,,
0.46398892,0.535807431,0.494805435,0.277759139,0.724577413,0.674575023,0.342199734,0.846957515,0.33273854,0.05743134,0.046847164,0.422722063,0.312010523,0.546775573,0.491548638,0.217257328,0.281838769,0.327269637,0.300571701,0.325513992,0.265235487,0.551646692,0.576985919,0.357016529,0.40152247,0.244278661,0.308723648,0.056948525,0.310756324,0.315353435,0.230711709,0.633452803,0.218280917,0.551897211,0.252232937,0.036935813,0.039062731,blues,,,,,,,,,,,,,
